parameter;jenis;gender;min_age;max_age;val1_min;val1_max;val2_min;val2_max;status;cls;rekomendasi
gula_darah;puasa;all;20;59;70;109;0;999;Normal;normal;
gula_darah;puasa;all;20;59;110;999;0;999;Tinggi;tinggi;"Di atas batas normal (hiperglikemia):
1.	Melakukan aktivitas fisik dengan intensitas sedang, yaitu selama 30 menit per hari dengan frekuensi minimal 3 kali seminggu
2.	Konsumsi makanan dengan gizi seimbang
3.	Konsumsi biji-bijian, kacang-kacangan, buah, sayur, dan membatasi makanan olahan (seperti nugget, mie, dan sosis)
4.	Konsultasikan kondisi kesehatan kepada dokter"
gula_darah;puasa;all;20;59;0;69;0;999;Rendah;rendah;"Di bawah batas normal (hipoglikemia):
1.	Konsumsi makanan tinggi glukosa berupa karbohidrat sederhana seperti gula pasir, madu, susu murni, dan buah-buahan segar (apel dan pisang)
2.	Mengurangi makanan yang mengandung lemak
3.	Hindari aktivitas fisik yang berlebihan
4.	Konsultasikan kondisi kesehatan kepada dokter"
gula_darah;2 Jam Post Prandial;all;20;59;0;139;0;999;Normal;normal;
gula_darah;2 Jam Post Prandial;all;20;59;140;999;0;999;Tinggi;tinggi;"Di atas batas normal (hiperglikemia):
1.	Melakukan aktivitas fisik dengan intensitas sedang, yaitu selama 30 menit per hari dengan frekuensi minimal 3 kali seminggu
2.	Konsumsi makanan dengan gizi seimbang
3.	Konsumsi biji-bijian, kacang-kacangan, buah, sayur, dan membatasi makanan olahan (seperti nugget, mie, dan sosis)
4.	Konsultasikan kondisi kesehatan kepada dokter"
gula_darah;sewaktu;all;20;59;0;199;0;999;Normal;normal;
gula_darah;sewaktu;all;20;59;200;999;0;999;Tinggi;tinggi;"Di atas batas normal (hiperglikemia):
1.	Melakukan aktivitas fisik dengan intensitas sedang, yaitu selama 30 menit per hari dengan frekuensi minimal 3 kali seminggu
2.	Konsumsi makanan dengan gizi seimbang
3.	Konsumsi biji-bijian, kacang-kacangan, buah, sayur, dan membatasi makanan olahan (seperti nugget, mie, dan sosis)
4.	Konsultasikan kondisi kesehatan kepada dokter"
gula_darah;puasa;all;60;90;82;115;0;999;Normal;normal;
gula_darah;puasa;all;60;90;116;999;0;999;Tinggi;tinggi;"Di atas batas normal (hiperglikemia):
1.	Melakukan aktivitas fisik dengan intensitas sedang, yaitu selama 30 menit per hari dengan frekuensi minimal 3 kali seminggu
2.	Konsumsi makanan dengan gizi seimbang
3.	Konsumsi biji-bijian, kacang-kacangan, buah, sayur, dan membatasi makanan olahan (seperti nugget, mie, dan sosis)
4.	Konsultasikan kondisi kesehatan kepada dokter"
gula_darah;puasa;all;60;90;0;81;0;999;Rendah;rendah;"Di bawah batas normal (hipoglikemia):
1.	Konsumsi makanan tinggi glukosa berupa karbohidrat sederhana seperti gula pasir, madu, susu murni, dan buah-buahan segar (apel dan pisang)
2.	Mengurangi makanan yang mengandung lemak
3.	Hindari aktivitas fisik yang berlebihan
4.	Konsultasikan kondisi kesehatan kepada dokter"
gula_darah;2 Jam Post Prandial;all;60;90;0;139;0;999;Normal;normal;
gula_darah;2 Jam Post Prandial;all;60;90;140;999;0;999;Tinggi;tinggi;"Di atas batas normal (hiperglikemia):
1.	Melakukan aktivitas fisik dengan intensitas sedang, yaitu selama 30 menit per hari dengan frekuensi minimal 3 kali seminggu
2.	Konsumsi makanan dengan gizi seimbang
3.	Konsumsi biji-bijian, kacang-kacangan, buah, sayur, dan membatasi makanan olahan (seperti nugget, mie, dan sosis)
4.	Konsultasikan kondisi kesehatan kepada dokter"
gula_darah;sewaktu;all;60;90;0;199;0;999;Normal;normal;
gula_darah;sewaktu;all;60;90;200;999;0;999;Tinggi;tinggi;"Di atas batas normal (hiperglikemia):
1.	Melakukan aktivitas fisik dengan intensitas sedang, yaitu selama 30 menit per hari dengan frekuensi minimal 3 kali seminggu
2.	Konsumsi makanan dengan gizi seimbang
3.	Konsumsi biji-bijian, kacang-kacangan, buah, sayur, dan membatasi makanan olahan (seperti nugget, mie, dan sosis)
4.	Konsultasikan kondisi kesehatan kepada dokter"
gula_darah;puasa;all;90;999;75;121;0;999;Normal;normal;
gula_darah;puasa;all;90;999;122;999;0;999;Tinggi;tinggi;"Di atas batas normal (hiperglikemia):
1.	Melakukan aktivitas fisik dengan intensitas sedang, yaitu selama 30 menit per hari dengan frekuensi minimal 3 kali seminggu
2.	Konsumsi makanan dengan gizi seimbang
3.	Konsumsi biji-bijian, kacang-kacangan, buah, sayur, dan membatasi makanan olahan (seperti nugget, mie, dan sosis)
4.	Konsultasikan kondisi kesehatan kepada dokter"
gula_darah;puasa;all;90;999;0;74;0;999;Rendah;rendah;"Di bawah batas normal (hipoglikemia):
1.	Konsumsi makanan tinggi glukosa berupa karbohidrat sederhana seperti gula pasir, madu, susu murni, dan buah-buahan segar (apel dan pisang)
2.	Mengurangi makanan yang mengandung lemak
3.	Hindari aktivitas fisik yang berlebihan
4.	Konsultasikan kondisi kesehatan kepada dokter"
gula_darah;2 Jam Post Prandial;all;90;999;0;139;0;999;Normal;normal;
gula_darah;2 Jam Post Prandial;all;90;999;140;999;0;999;Tinggi;tinggi;"Di atas batas normal (hiperglikemia):
1.	Melakukan aktivitas fisik dengan intensitas sedang, yaitu selama 30 menit per hari dengan frekuensi minimal 3 kali seminggu
2.	Konsumsi makanan dengan gizi seimbang
3.	Konsumsi biji-bijian, kacang-kacangan, buah, sayur, dan membatasi makanan olahan (seperti nugget, mie, dan sosis)
4.	Konsultasikan kondisi kesehatan kepada dokter"
gula_darah;sewaktu;all;90;999;0;199;0;999;Normal;normal;
gula_darah;sewaktu;all;90;999;200;999;0;999;Tinggi;tinggi;"Di atas batas normal (hiperglikemia):
1.	Melakukan aktivitas fisik dengan intensitas sedang, yaitu selama 30 menit per hari dengan frekuensi minimal 3 kali seminggu
2.	Konsumsi makanan dengan gizi seimbang
3.	Konsumsi biji-bijian, kacang-kacangan, buah, sayur, dan membatasi makanan olahan (seperti nugget, mie, dan sosis)
4.	Konsultasikan kondisi kesehatan kepada dokter"
kolesterol;all;pria;15;19;113;197;0;999;Normal;normal;
kolesterol;all;pria;15;19;198;999;0;999;Tinggi;tinggi;"Di atas batas normal (hiperkolesterolemia):
1.	Melakukan aktivitas fisik dengan intensitas sedang, yaitu minimal 30 menit per hari dengan frekuensi 4-6 kali seminggu
2.	Melakukan diet rendah kalori dengan konsumsi buah dan sayur (? 5 porsi/hari), biji-bijian (? 6 porsi/hari), ikan, dan daging tanpa lemak
3.	Menghindari merokok dan minuman beralkohol serta menurunkan kelebihan berat badan
4.	Hindari makanan yang memicu peningkatan kadar kolesterol jahat, seperti jeroan, seafood, kuning telur, susu full cream, dan keju
5.	Konsultasikan kondisi kesehatan kepada dokter"
kolesterol;all;pria;15;19;0;112;0;999;Rendah;rendah;"Di bawah batas normal (hipokolesterolemia)
1.	Segera konsultasikan kondisi kesehatan kepada dokter"
kolesterol;all;wanita;15;19;119;200;0;999;Normal;normal;
kolesterol;all;wanita;15;19;201;999;0;999;Tinggi;tinggi;"Di atas batas normal (hiperkolesterolemia):
1.	Melakukan aktivitas fisik dengan intensitas sedang, yaitu minimal 30 menit per hari dengan frekuensi 4-6 kali seminggu
2.	Melakukan diet rendah kalori dengan konsumsi buah dan sayur (? 5 porsi/hari), biji-bijian (? 6 porsi/hari), ikan, dan daging tanpa lemak
3.	Menghindari merokok dan minuman beralkohol serta menurunkan kelebihan berat badan
4.	Hindari makanan yang memicu peningkatan kadar kolesterol jahat, seperti jeroan, seafood, kuning telur, susu full cream, dan keju
5.	Konsultasikan kondisi kesehatan kepada dokter"
kolesterol;all;wanita;15;19;0;199;0;999;Rendah;rendah;"Di bawah batas normal (hipokolesterolemia)
1.	Segera konsultasikan kondisi kesehatan kepada dokter"
kolesterol;all;pria;20;24;124;218;0;999;Normal;normal;
kolesterol;all;pria;20;24;219;999;0;999;Tinggi;tinggi;"Di atas batas normal (hiperkolesterolemia):
1.	Melakukan aktivitas fisik dengan intensitas sedang, yaitu minimal 30 menit per hari dengan frekuensi 4-6 kali seminggu
2.	Melakukan diet rendah kalori dengan konsumsi buah dan sayur (? 5 porsi/hari), biji-bijian (? 6 porsi/hari), ikan, dan daging tanpa lemak
3.	Menghindari merokok dan minuman beralkohol serta menurunkan kelebihan berat badan
4.	Hindari makanan yang memicu peningkatan kadar kolesterol jahat, seperti jeroan, seafood, kuning telur, susu full cream, dan keju
5.	Konsultasikan kondisi kesehatan kepada dokter"
kolesterol;all;pria;20;24;0;123;0;999;Rendah;rendah;"Di bawah batas normal (hipokolesterolemia)
1.	Segera konsultasikan kondisi kesehatan kepada dokter"
kolesterol;all;wanita;20;24;122;216;0;999;Normal;normal;
kolesterol;all;wanita;20;24;217;999;0;999;Tinggi;tinggi;"Di atas batas normal (hiperkolesterolemia):
1.	Melakukan aktivitas fisik dengan intensitas sedang, yaitu minimal 30 menit per hari dengan frekuensi 4-6 kali seminggu
2.	Melakukan diet rendah kalori dengan konsumsi buah dan sayur (? 5 porsi/hari), biji-bijian (? 6 porsi/hari), ikan, dan daging tanpa lemak
3.	Menghindari merokok dan minuman beralkohol serta menurunkan kelebihan berat badan
4.	Hindari makanan yang memicu peningkatan kadar kolesterol jahat, seperti jeroan, seafood, kuning telur, susu full cream, dan keju
5.	Konsultasikan kondisi kesehatan kepada dokter"
kolesterol;all;wanita;20;24;0;121;0;999;Rendah;rendah;"Di bawah batas normal (hipokolesterolemia)
1.	Segera konsultasikan kondisi kesehatan kepada dokter"
kolesterol;all;pria;25;29;133;244;0;999;Normal;normal;
